system:time_start,LST_Night_1km
"Jan 1, 2004",2.182
"Jan 9, 2004",3.517
"Jan 17, 2004",2.4
"Jan 25, 2004",0.535
"Feb 2, 2004",2.795
"Feb 10, 2004",4.933
"Feb 18, 2004",7.456
"Feb 26, 2004",8.443
"Mar 5, 2004",7.499
"Mar 13, 2004",11.773
"Mar 21, 2004",11.877
"Mar 29, 2004",10.554
"Apr 6, 2004",12.318
"Apr 14, 2004",12.205
"Apr 22, 2004",10.768
"Apr 30, 2004",11.791
"May 8, 2004",15.889
"May 16, 2004",12.173
"May 24, 2004",12.291
"Jun 1, 2004",12.221
"Jun 9, 2004",12.614
"Jun 17, 2004",12.271
"Jun 25, 2004",13.882
"Jul 3, 2004",6.745
"Jul 11, 2004",9.956
"Jul 19, 2004",10.686
"Jul 27, 2004",0.537
"Aug 4, 2004",-2.687
"Aug 12, 2004",-0.581
"Aug 20, 2004",10.845
"Aug 28, 2004",12.643
"Sep 5, 2004",12.861
"Sep 13, 2004",11.416
"Sep 21, 2004",12.434
"Sep 29, 2004",11.79
"Oct 7, 2004",10.123
"Oct 15, 2004",9.37
"Oct 23, 2004",7.364
"Oct 31, 2004",7.145
"Nov 8, 2004",6.846
"Nov 16, 2004",6.702
"Nov 24, 2004",4.782
"Dec 2, 2004",6.7
"Dec 10, 2004",6.491
"Dec 18, 2004",3.467
"Dec 26, 2004",3.563
"Jan 1, 2005",3.59
"Jan 9, 2005",2.668
"Jan 17, 2005",-1.088
"Jan 25, 2005",1.187
"Feb 2, 2005",0.992
"Feb 10, 2005",4.013
"Feb 18, 2005",4.931
"Feb 26, 2005",7.652
"Mar 6, 2005",7.412
"Mar 14, 2005",8.961
"Mar 22, 2005",7.409
"Mar 30, 2005",9.517
"Apr 7, 2005",9.229
"Apr 15, 2005",11.202
"Apr 23, 2005",10.981
"May 1, 2005",10.209
"May 9, 2005",12.053
"May 17, 2005",14.047
"May 25, 2005",16.104
"Jun 2, 2005",14.673
"Jun 10, 2005",17.164
"Jun 18, 2005",15.051
"Jun 26, 2005",11.895
"Jul 4, 2005",7.759
"Jul 12, 2005",1.904
"Jul 20, 2005",9.031
"Jul 28, 2005",6.93
"Aug 5, 2005",10.203
"Aug 13, 2005",6.796
"Aug 21, 2005",10.74
"Aug 29, 2005",12.681
"Sep 6, 2005",12.129
"Sep 14, 2005",10.704
"Sep 22, 2005",12.428
"Sep 30, 2005",12.033
"Oct 8, 2005",11.328
"Oct 16, 2005",9.901
"Oct 24, 2005",9.214
"Nov 1, 2005",6.946
"Nov 9, 2005",8.253
"Nov 17, 2005",7.033
"Nov 25, 2005",5.721
"Dec 3, 2005",4.987
"Dec 11, 2005",5.087
"Dec 19, 2005",3.34
"Dec 27, 2005",3.803
"Jan 1, 2006",5.099
"Jan 9, 2006",4.877
"Jan 17, 2006",3.043
"Jan 25, 2006",5.781
"Feb 2, 2006",6.961
"Feb 10, 2006",7.117
"Feb 18, 2006",10.163
"Feb 26, 2006",7.802
"Mar 6, 2006",6.485
"Mar 14, 2006",6.78
"Mar 22, 2006",8.958
"Mar 30, 2006",10.195
"Apr 7, 2006",10.804
"Apr 15, 2006",8.754
"Apr 23, 2006",12.568
"May 1, 2006",12.867
"May 9, 2006",12.465
"May 17, 2006",11.951
"May 25, 2006",13.495
"Jun 2, 2006",12.443
"Jun 10, 2006",13.908
"Jun 18, 2006",14.165
"Jun 26, 2006",11.056
"Jul 4, 2006",10.642
"Jul 12, 2006",4.025
"Jul 20, 2006",3.612
"Jul 28, 2006",-4.462
"Aug 5, 2006",14.895
"Aug 13, 2006",13.867
"Aug 21, 2006",1.801
"Aug 29, 2006",11.798
"Sep 6, 2006",11.057
"Sep 14, 2006",12.79
"Sep 22, 2006",12.983
"Sep 30, 2006",13.164
"Oct 8, 2006",12.408
"Oct 16, 2006",9.08
"Oct 24, 2006",9.339
"Nov 1, 2006",8.93
"Nov 9, 2006",7.99
"Nov 17, 2006",6.704
"Nov 25, 2006",4.884
"Dec 3, 2006",6.115
"Dec 11, 2006",5.459
"Dec 19, 2006",5.554
"Dec 27, 2006",4.722
"Jan 1, 2007",4.188
"Jan 9, 2007",1.589
"Jan 17, 2007",3.356
"Jan 25, 2007",5.976
"Feb 2, 2007",4.008
"Feb 10, 2007",-0.087
"Feb 18, 2007",4.476
"Feb 26, 2007",4.672
"Mar 6, 2007",5.385
"Mar 14, 2007",5.576
"Mar 22, 2007",10.441
"Mar 30, 2007",12.446
"Apr 7, 2007",10.33
"Apr 15, 2007",12.071
"Apr 23, 2007",11.69
"May 1, 2007",11.518
"May 9, 2007",12.417
"May 17, 2007",13.841
"May 25, 2007",13.767
"Jun 2, 2007",14.704
"Jun 10, 2007",12.272
"Jun 18, 2007",13.703
"Jun 26, 2007",7.592
"Jul 4, 2007",12.488
"Jul 12, 2007",10.162
"Jul 20, 2007",3.739
"Jul 28, 2007",6.466
"Aug 5, 2007",7.04
"Aug 13, 2007",7.907
"Aug 21, 2007",12.573
"Aug 29, 2007",9.516
"Sep 6, 2007",13.098
"Sep 14, 2007",13.096
"Sep 22, 2007",8.446
"Sep 30, 2007",13.355
"Oct 8, 2007",12.481
"Oct 16, 2007",9.494
"Oct 24, 2007",10.332
"Nov 1, 2007",9.021
"Nov 9, 2007",6.791
"Nov 17, 2007",6.992
"Nov 25, 2007",6.317
"Dec 3, 2007",4.063
"Dec 11, 2007",3.285
"Dec 19, 2007",6.241
"Dec 27, 2007",5.417
"Jan 1, 2008",4.021
"Jan 9, 2008",4.808
"Jan 17, 2008",0.733
"Jan 25, 2008",-1.991
"Feb 2, 2008",1.394
"Feb 10, 2008",2.891
"Feb 18, 2008",4.519
"Feb 26, 2008",6.69
"Mar 5, 2008",8.242
"Mar 13, 2008",8.737
"Mar 21, 2008",9.223
"Mar 29, 2008",6.962
"Apr 6, 2008",9.96
"Apr 14, 2008",12.192
"Apr 22, 2008",13.866
"Apr 30, 2008",13.423
"May 8, 2008",11.585
"May 16, 2008",12.164
"May 24, 2008",13.385
"Jun 1, 2008",13.629
"Jun 9, 2008",8.289
"Jun 17, 2008",5.077
"Jun 25, 2008",4.532
"Jul 3, 2008",5.708
"Jul 11, 2008",3.342
"Jul 19, 2008",4.825
"Jul 27, 2008",6.347
"Aug 4, 2008",1.314
"Aug 12, 2008",-7.404
"Aug 20, 2008",6.047
"Aug 28, 2008",12.977
"Sep 5, 2008",13.113
"Sep 13, 2008",11.929
"Sep 21, 2008",12.063
"Sep 29, 2008",13.128
"Oct 7, 2008",11.667
"Oct 15, 2008",10.398
"Oct 23, 2008",9.303
"Oct 31, 2008",10.031
"Nov 8, 2008",9.507
"Nov 16, 2008",7.263
"Nov 24, 2008",7.604
"Dec 2, 2008",8.032
"Dec 10, 2008",6.466
"Dec 18, 2008",5.818
"Dec 26, 2008",3.583
"Jan 1, 2009",2.371
"Jan 9, 2009",4.536
"Jan 17, 2009",7.993
"Jan 25, 2009",6.228
"Feb 2, 2009",5.998
"Feb 10, 2009",5.586
"Feb 18, 2009",6.113
"Feb 26, 2009",7.056
"Mar 6, 2009",7.816
"Mar 14, 2009",7.679
"Mar 22, 2009",7.031
"Mar 30, 2009",10.428
"Apr 7, 2009",11.1
"Apr 15, 2009",13.377
"Apr 23, 2009",13.496
"May 1, 2009",13.719
"May 9, 2009",10.862
"May 17, 2009",13.926
"May 25, 2009",12.155
"Jun 2, 2009",14.376
"Jun 10, 2009",14.857
"Jun 18, 2009",15.959
"Jun 26, 2009",11.175
"Jul 4, 2009",11.783
"Jul 12, 2009",8.771
"Jul 20, 2009",11.473
"Jul 28, 2009",11.914
"Aug 5, 2009",11.419
"Aug 13, 2009",11.6
"Aug 21, 2009",12.379
"Aug 29, 2009",2.566
"Sep 6, 2009",11.748
"Sep 14, 2009",13.727
"Sep 22, 2009",13.625
"Sep 30, 2009",13.111
"Oct 8, 2009",10.915
"Oct 16, 2009",9.946
"Oct 24, 2009",9.868
"Nov 1, 2009",8.598
"Nov 9, 2009",8.587
"Nov 17, 2009",5.998
"Nov 25, 2009",6.418
"Dec 3, 2009",5.768
"Dec 11, 2009",4.083
"Dec 19, 2009",3.162
"Dec 27, 2009",2.786
"Jan 1, 2010",4.679
"Jan 9, 2010",3.616
"Jan 17, 2010",3.914
"Jan 25, 2010",3.291
"Feb 2, 2010",3.171
"Feb 10, 2010",3.485
"Feb 18, 2010",5.138
"Feb 26, 2010",7.993
"Mar 6, 2010",8.283
"Mar 14, 2010",10.944
"Mar 22, 2010",12.428
"Mar 30, 2010",11.409
"Apr 7, 2010",13.51
"Apr 15, 2010",14.082
"Apr 23, 2010",13.305
"May 1, 2010",11.722
"May 9, 2010",14.299
"May 17, 2010",15.009
"May 25, 2010",12.973
"Jun 2, 2010",14.211
"Jun 10, 2010",14.751
"Jun 18, 2010",14.467
"Jun 26, 2010",12.2
"Jul 4, 2010",11.582
"Jul 12, 2010",10.012
"Jul 20, 2010",1.403
"Jul 28, 2010",13.395
"Aug 5, 2010",11.63
"Aug 13, 2010",7.547
"Aug 21, 2010",2.854
"Aug 29, 2010",7.076
"Sep 6, 2010",11.952
"Sep 14, 2010",5.662
"Sep 22, 2010",12.813
"Sep 30, 2010",12.531
"Oct 8, 2010",11.536
"Oct 16, 2010",11.709
"Oct 24, 2010",9.641
"Nov 1, 2010",9.8
"Nov 9, 2010",8.855
"Nov 17, 2010",7.347
"Nov 25, 2010",6.687
"Dec 3, 2010",5.491
"Dec 11, 2010",3.904
"Dec 19, 2010",3.165
"Dec 27, 2010",4.665
"Jan 1, 2011",2.794
"Jan 9, 2011",1.961
"Jan 17, 2011",1.571
"Jan 25, 2011",2.428
"Feb 2, 2011",6.423
"Feb 10, 2011",3.806
"Feb 18, 2011",2.892
"Feb 26, 2011",4.232
"Mar 6, 2011",6.773
"Mar 14, 2011",9.2
"Mar 22, 2011",9.343
"Mar 30, 2011",8.027
"Apr 7, 2011",9.333
"Apr 15, 2011",10.286
"Apr 23, 2011",10.915
"May 1, 2011",12.584
"May 9, 2011",13.963
"May 17, 2011",12.948
"May 25, 2011",12.857
"Jun 2, 2011",15.04
"Jun 10, 2011",13.026
"Jun 18, 2011",8.213
"Jun 26, 2011",5.41
"Jul 4, 2011",6.25
"Jul 12, 2011",4.94
"Jul 20, 2011",6.363
"Jul 28, 2011",9.511
"Aug 5, 2011",-4.279
"Aug 13, 2011",5.278
"Aug 21, 2011",10.426
"Aug 29, 2011",11.156
"Sep 6, 2011",9.973
"Sep 14, 2011",11.914
"Sep 22, 2011",13.13
"Sep 30, 2011",13.148
"Oct 8, 2011",12.742
"Oct 16, 2011",10.017
"Oct 24, 2011",8.737
"Nov 1, 2011",8.1
"Nov 9, 2011",8.33
"Nov 17, 2011",7.969
"Nov 25, 2011",8.182
"Dec 3, 2011",6.605
"Dec 11, 2011",3.861
"Dec 19, 2011",3.791
"Dec 27, 2011",4.151
"Jan 1, 2012",1.258
"Jan 9, 2012",-0.977
"Jan 17, 2012",0.982
"Jan 25, 2012",1.861
"Feb 2, 2012",2.774
"Feb 10, 2012",1.582
"Feb 18, 2012",5.99
"Feb 26, 2012",5.308
"Mar 5, 2012",4.517
"Mar 13, 2012",7.038
"Mar 21, 2012",10.252
"Mar 29, 2012",10.609
"Apr 6, 2012",9.278
"Apr 14, 2012",11.611
"Apr 22, 2012",11.431
"Apr 30, 2012",10.784
"May 8, 2012",12.889
"May 16, 2012",14.212
"May 24, 2012",16.153
"Jun 1, 2012",15.189
"Jun 9, 2012",16.303
"Jun 17, 2012",12.19
"Jun 25, 2012",12.454
"Jul 3, 2012",3.963
"Jul 11, 2012",9.035
"Jul 19, 2012",10.281
"Jul 27, 2012",-7.923
"Aug 4, 2012",7.938
"Aug 12, 2012",8.882
"Aug 20, 2012",6.758
"Aug 28, 2012",10.019
"Sep 5, 2012",11.778
"Sep 13, 2012",11.599
"Sep 21, 2012",14.141
"Sep 29, 2012",13.378
"Oct 7, 2012",10.919
"Oct 15, 2012",9.824
"Oct 23, 2012",8.244
"Oct 31, 2012",8.114
"Nov 8, 2012",6.249
"Nov 16, 2012",7.289
"Nov 24, 2012",5.009
"Dec 2, 2012",7.112
"Dec 10, 2012",4.843
"Dec 18, 2012",4.476
"Dec 26, 2012",3.945
"Jan 1, 2013",1.479
"Jan 9, 2013",3.223
"Jan 17, 2013",0.986
"Jan 25, 2013",2.425
"Feb 2, 2013",3.639
"Feb 10, 2013",4.089
"Feb 18, 2013",4.281
"Feb 26, 2013",8.057
"Mar 6, 2013",8.563
"Mar 14, 2013",7.877
"Mar 22, 2013",9.131
"Mar 30, 2013",9.57
"Apr 7, 2013",11.851
"Apr 15, 2013",9.946
"Apr 23, 2013",12.931
"May 1, 2013",13.497
"May 9, 2013",12.941
"May 17, 2013",14.845
"May 25, 2013",14.036
"Jun 2, 2013",13.222
"Jun 10, 2013",11.97
"Jun 18, 2013",11.746
"Jun 26, 2013",4.684
"Jul 4, 2013",4.692
"Jul 12, 2013",3.469
"Jul 20, 2013",7.773
"Jul 28, 2013",6.543
"Aug 5, 2013",0.511
"Aug 13, 2013",5.199
"Aug 21, 2013",3.953
"Aug 29, 2013",10.332
"Sep 6, 2013",12.032
"Sep 14, 2013",13.553
"Sep 22, 2013",13.785
"Sep 30, 2013",9.013
"Oct 8, 2013",12.694
"Oct 16, 2013",9.85
"Oct 24, 2013",9.163
"Nov 1, 2013",7.627
"Nov 9, 2013",6.494
"Nov 17, 2013",7.665
"Nov 25, 2013",7.734
"Dec 3, 2013",5.861
"Dec 11, 2013",4.355
"Dec 19, 2013",3.289
"Dec 27, 2013",2.781
"Jan 1, 2014",2.778
"Jan 9, 2014",2.857
"Jan 17, 2014",2.624
"Jan 25, 2014",4.18
"Feb 2, 2014",3.943
"Feb 10, 2014",1.184
"Feb 18, 2014",4.234
"Feb 26, 2014",3.216
"Mar 6, 2014",5.572
"Mar 14, 2014",8.796
"Mar 22, 2014",8.75
"Mar 30, 2014",9.761
"Apr 7, 2014",10.053
"Apr 15, 2014",10.499
"Apr 23, 2014",13.351
"May 1, 2014",12.845
"May 9, 2014",13.402
"May 17, 2014",15.631
"May 25, 2014",13.28
"Jun 2, 2014",16.404
"Jun 10, 2014",14.55
"Jun 18, 2014",13.482
